label,uptime_s,rss_mb,footprint_mb,cpu_s,wakeups,idle_wakeups
B,0.0,62.73,104.99,0.007,45,2
B,5.0,62.45,102.75,0.010,69,2
B,10.0,62.42,102.72,0.014,92,3
B,15.0,62.42,102.72,0.018,115,3
B,20.0,62.47,102.80,0.021,134,3
B,25.0,62.42,102.28,0.025,161,4
B,30.0,62.58,103.74,0.029,185,4
B,35.0,55.12,102.31,0.032,210,5
B,40.0,55.22,102.28,0.036,234,5
B,45.0,55.25,102.31,0.040,255,5
B,50.0,55.36,102.33,0.043,279,7
B,55.0,55.30,102.31,0.047,302,7
B,59.9,55.30,102.28,0.050,325,8
B,65.0,55.52,102.27,0.054,347,8
B,69.9,56.33,102.31,0.057,369,8
