label,uptime_s,rss_mb,footprint_mb,cpu_s,wakeups,idle_wakeups
B,-0.0,62.06,102.81,0.006,37,2
B,5.0,62.06,102.84,0.011,65,2
B,10.0,62.02,102.59,0.015,88,2
B,15.0,62.02,102.56,0.018,115,4
B,20.0,62.02,102.50,0.022,138,5
B,25.0,55.44,102.58,0.026,163,6
B,30.0,55.47,102.55,0.030,188,6
B,35.0,55.47,102.52,0.034,216,6
B,39.9,55.50,102.53,0.038,241,6
B,45.0,55.52,102.49,0.041,268,6
B,50.0,55.52,102.52,0.045,301,6
B,55.0,55.53,102.53,0.049,336,7
B,60.0,55.55,102.52,0.053,368,7
B,65.0,55.55,102.55,0.058,400,7
B,70.0,55.48,102.52,0.061,429,8
B,75.0,55.61,102.64,0.065,456,8
B,80.0,55.61,102.61,0.069,485,9
B,85.0,55.61,102.58,0.073,513,9
B,90.0,55.61,102.20,0.077,537,9
B,95.0,55.61,102.17,0.081,564,9
B,100.0,55.61,102.17,0.085,587,10
B,105.0,55.66,102.28,0.089,613,11
B,110.0,53.77,102.31,0.093,636,11
B,115.0,53.77,102.31,0.098,662,11
B,120.0,53.83,102.30,0.102,685,11
B,124.9,53.83,102.31,0.106,709,12
B,130.0,53.84,102.36,0.109,735,12
B,135.0,53.86,102.39,0.114,761,12
B,140.0,53.86,102.36,0.117,784,12
B,145.0,53.86,102.39,0.121,811,12
B,150.0,53.86,102.36,0.125,836,14
B,155.0,54.03,103.91,0.129,864,15
B,160.0,53.44,102.47,0.133,893,15
B,165.0,53.16,102.53,0.138,919,15
B,169.9,53.16,102.52,0.143,942,15
B,175.0,53.30,102.55,0.148,962,15
B,180.0,54.77,102.56,0.154,988,16
B,185.0,54.53,102.61,0.159,1014,16
B,190.0,54.48,102.58,0.163,1040,16
B,195.0,54.34,102.58,0.167,1066,16
B,200.0,54.36,102.59,0.170,1095,18
B,205.0,54.36,102.66,0.173,1123,18
B,210.0,54.09,102.64,0.177,1147,21
B,214.9,54.23,102.63,0.182,1174,21
B,220.0,53.17,102.59,0.187,1193,21
B,225.0,53.12,102.63,0.192,1216,22
B,230.0,53.19,102.59,0.197,1239,22
B,235.0,53.47,104.78,0.201,1263,22
B,240.0,53.47,102.55,0.206,1285,22
B,245.0,53.30,102.56,0.210,1308,22
B,250.0,53.30,102.63,0.215,1333,23
B,255.0,53.34,102.67,0.219,1359,25
B,260.0,53.28,102.63,0.222,1384,26
B,265.0,53.28,102.66,0.225,1408,29
B,270.0,53.39,104.94,0.228,1435,29
B,275.0,53.42,102.74,0.233,1459,29
B,279.9,53.31,102.70,0.237,1483,29
B,285.0,53.31,102.66,0.241,1507,30
B,290.0,53.31,102.66,0.246,1531,30
B,294.9,53.34,102.69,0.250,1554,30
