label,uptime_s,rss_mb,footprint_mb,cpu_s,wakeups,idle_wakeups
B,-0.0,59.75,21.92,0.005,32,0
B,5.0,59.75,19.92,0.008,51,0
B,10.0,58.22,18.77,0.010,71,0
B,15.0,58.22,18.77,0.013,91,1
B,19.9,58.22,18.77,0.015,108,1
B,25.0,58.22,18.77,0.018,125,2
B,30.0,58.19,18.75,0.020,141,2
B,35.0,51.17,18.75,0.023,156,2
B,40.0,51.34,18.81,0.026,172,2
B,45.0,51.33,18.81,0.030,191,2
B,50.0,51.33,18.81,0.034,207,2
B,55.0,51.41,18.83,0.039,225,3
B,60.0,51.41,18.83,0.042,241,3
B,65.0,48.88,18.81,0.046,256,3
B,70.0,49.39,18.84,0.051,272,3
B,75.0,49.28,18.84,0.055,288,4
B,80.0,49.28,18.84,0.060,303,4
B,84.7,43.98,18.84,0.064,317,5
