label,uptime_s,rss_mb,footprint_mb,cpu_s,wakeups,idle_wakeups
B,-0.0,62.86,103.00,0.008,48,1
B,5.0,55.31,103.11,0.013,75,2
B,10.0,55.41,103.05,0.017,98,2
B,15.0,52.89,103.11,0.022,122,2
B,20.0,52.97,103.08,0.026,143,2
B,25.0,52.98,103.13,0.030,166,2
B,30.0,51.23,103.08,0.034,190,2
B,35.0,51.34,103.09,0.038,215,2
B,39.9,51.30,103.08,0.043,241,3
B,45.0,51.55,102.67,0.047,265,3
B,50.0,51.55,102.61,0.052,290,5
B,55.0,51.56,102.56,0.057,316,5
B,59.9,51.20,102.64,0.061,338,6
B,65.0,51.28,102.58,0.066,359,6
B,70.0,51.55,102.61,0.070,390,6
B,75.0,51.36,102.64,0.075,418,6
B,80.0,51.67,102.61,0.080,441,6
B,85.0,51.69,102.61,0.085,463,7
B,90.0,51.73,102.56,0.091,487,8
B,95.0,51.72,102.61,0.096,516,8
B,100.0,51.56,102.59,0.101,543,10
B,105.0,51.58,102.55,0.106,568,10
B,110.0,51.58,102.58,0.111,589,10
B,115.1,51.56,102.56,0.116,618,10
B,120.1,51.58,102.59,0.122,642,11
B,125.1,51.58,102.59,0.126,667,11
B,130.1,51.61,102.61,0.131,687,11
B,135.1,51.73,102.78,0.136,714,11
B,140.1,51.69,102.75,0.141,743,11
B,145.1,51.50,102.81,0.146,772,12
B,150.1,51.50,102.78,0.152,797,13
B,155.1,51.50,102.81,0.157,823,13
B,160.1,51.34,102.75,0.161,849,15
B,165.0,51.36,102.77,0.165,875,15
B,170.0,51.06,102.77,0.169,897,15
B,175.1,51.58,105.00,0.174,921,19
B,180.1,52.92,102.77,0.179,945,19
B,185.1,52.67,102.75,0.184,971,19
B,190.1,52.56,102.78,0.188,995,19
B,195.1,52.64,102.83,0.193,1016,19
B,200.0,51.61,105.02,0.196,1038,19
B,205.0,51.45,102.74,0.200,1061,20
B,210.0,52.77,104.95,0.203,1166,32
