label,uptime_s,rss_mb,footprint_mb,cpu_s,wakeups,idle_wakeups
C,-0.0,36.97,11.75,0.002,80,2
C,5.0,37.14,11.72,0.002,81,2
C,10.0,37.22,11.74,0.002,82,2
C,15.0,37.17,11.69,0.002,84,2
C,20.0,37.17,11.69,0.002,85,2
C,25.0,37.17,11.69,0.002,86,2
C,30.0,37.17,11.69,0.002,87,2
C,35.0,37.17,11.69,0.002,88,2
C,40.0,37.17,11.69,0.002,89,2
C,45.0,37.17,11.77,0.002,90,2
C,50.0,37.05,11.72,0.002,92,2
C,55.0,37.05,11.72,0.002,93,2
C,60.0,37.05,11.72,0.002,94,2
C,65.0,37.05,11.72,0.002,95,2
C,70.0,37.05,11.72,0.002,96,2
C,75.0,37.05,11.72,0.002,97,2
C,80.0,33.56,11.72,0.002,98,2
C,84.5,33.56,11.72,0.002,99,2
