label,uptime_s,rss_mb,footprint_mb,cpu_s,wakeups,idle_wakeups
A,-0.0,38.97,10.28,0.001,78,0
A,5.0,38.80,10.06,0.001,80,0
A,10.0,38.80,10.06,0.001,81,0
A,15.0,38.80,10.06,0.001,82,0
A,20.0,38.80,10.06,0.001,83,0
A,25.0,38.80,10.06,0.001,84,0
A,30.0,34.28,10.06,0.001,85,0
A,35.0,34.28,10.06,0.001,86,0
A,40.0,34.28,10.06,0.001,87,0
A,45.0,34.28,10.06,0.001,88,0
A,50.0,34.28,10.06,0.001,89,0
A,55.0,34.31,10.06,0.001,90,0
A,60.0,34.31,10.06,0.001,91,0
A,65.0,34.31,10.06,0.001,92,0
A,70.0,34.31,10.06,0.001,93,0
A,75.0,34.31,10.06,0.001,94,0
A,80.0,34.31,10.06,0.001,95,0
A,85.0,34.31,10.06,0.001,96,0
A,90.0,34.31,10.06,0.001,97,1
A,95.0,34.31,10.06,0.001,98,1
A,100.0,34.31,10.06,0.001,99,1
A,105.0,34.28,10.06,0.001,100,1
A,110.0,34.28,10.06,0.001,101,1
A,115.0,34.28,10.06,0.001,102,1
A,120.0,30.94,10.06,0.001,103,1
A,125.0,30.94,10.06,0.001,104,1
A,130.0,30.94,10.06,0.001,105,1
A,135.0,31.02,10.06,0.001,106,1
A,140.0,30.98,10.06,0.001,107,1
A,145.0,30.98,10.06,0.001,108,1
A,150.0,30.98,10.06,0.002,109,1
A,155.0,30.98,10.06,0.002,110,1
A,160.0,30.98,10.06,0.002,111,1
A,165.0,30.98,10.06,0.002,112,1
A,170.0,30.98,10.06,0.002,113,1
A,175.0,30.98,10.06,0.002,114,1
A,180.0,30.98,10.06,0.002,115,1
A,185.0,31.03,10.08,0.002,116,1
A,190.0,31.03,10.08,0.002,117,1
A,195.0,31.03,10.08,0.002,118,1
A,200.0,31.03,10.08,0.002,119,1
A,205.0,31.03,10.08,0.002,120,1
A,210.0,31.03,10.08,0.002,121,1
A,215.0,31.08,10.08,0.002,122,1
A,220.0,31.08,10.08,0.002,123,1
A,225.0,31.08,10.08,0.002,124,1
A,230.0,31.08,10.08,0.002,125,1
A,235.0,31.08,10.08,0.002,126,1
A,240.0,31.08,10.08,0.002,127,1
A,245.0,31.08,10.08,0.002,128,1
A,250.0,30.16,10.08,0.002,129,1
A,255.0,30.92,10.08,0.002,130,1
A,260.0,32.06,10.09,0.002,131,1
A,265.0,32.06,10.08,0.002,133,2
A,270.0,32.06,10.08,0.002,134,2
A,275.0,32.03,10.08,0.002,135,2
A,280.0,32.03,10.08,0.002,136,2
A,285.0,32.03,10.08,0.002,137,2
A,290.0,32.03,10.08,0.002,138,2
A,295.0,32.16,10.08,0.002,140,2
A,300.0,32.16,10.08,0.002,141,2
A,305.0,32.16,10.08,0.002,142,2
A,310.0,32.16,10.08,0.002,143,2
A,315.0,32.16,10.08,0.002,144,2
A,320.0,32.16,10.08,0.002,145,2
A,325.0,31.33,10.08,0.002,146,2
A,330.0,30.91,10.08,0.002,147,2
A,335.0,30.91,10.08,0.002,148,2
A,340.0,30.91,10.08,0.002,149,2
A,345.0,30.91,10.08,0.002,150,2
A,350.0,30.91,10.08,0.002,151,2
A,355.0,30.91,10.08,0.002,152,2
A,360.0,30.72,10.08,0.002,153,2
A,365.0,30.78,10.08,0.002,154,2
A,370.0,30.78,10.08,0.002,155,2
A,375.0,30.81,10.08,0.002,156,2
A,380.0,28.58,10.08,0.002,157,2
A,385.0,29.44,10.08,0.002,158,2
A,390.0,29.44,10.08,0.002,159,2
A,395.0,29.44,10.08,0.002,160,2
A,400.0,29.52,10.08,0.002,161,2
A,405.0,29.52,10.08,0.002,162,2
A,410.0,29.52,10.08,0.002,163,2
A,415.0,29.52,10.08,0.002,164,2
A,420.0,29.52,10.08,0.002,165,2
A,425.0,29.52,10.08,0.002,166,2
A,430.0,29.52,10.08,0.002,167,2
A,435.0,29.52,10.08,0.002,168,2
A,440.0,29.52,10.08,0.002,169,2
A,445.0,29.48,10.08,0.002,170,2
A,450.0,29.48,10.08,0.002,171,2
A,455.0,29.56,10.08,0.002,172,2
A,460.0,29.56,10.08,0.002,173,2
A,465.0,29.56,10.08,0.002,174,2
A,470.0,29.56,10.08,0.002,175,2
A,475.0,29.56,10.08,0.002,176,2
A,480.0,29.56,10.08,0.002,177,2
A,485.0,29.56,10.08,0.002,178,2
A,490.0,29.56,10.08,0.002,179,2
A,495.0,29.56,10.08,0.002,180,2
A,500.0,29.56,10.08,0.002,181,2
A,505.0,28.67,10.08,0.002,182,2
A,510.0,29.52,10.08,0.002,183,2
A,515.0,29.52,10.08,0.002,184,2
A,520.0,29.52,10.08,0.002,185,2
A,525.0,29.52,10.08,0.002,186,2
A,530.0,29.56,10.08,0.002,187,2
A,535.0,29.56,10.08,0.002,188,2
A,540.0,29.56,10.08,0.002,189,2
A,545.0,29.56,10.08,0.002,190,3
A,550.0,29.56,10.08,0.002,191,3
A,555.0,29.56,10.08,0.002,192,3
A,560.0,29.56,10.08,0.002,193,3
A,565.0,29.56,10.08,0.002,194,3
A,570.0,29.56,10.08,0.002,195,3
A,575.0,29.56,10.08,0.002,196,3
A,580.0,29.56,10.08,0.002,197,3
A,585.0,29.56,10.08,0.002,198,3
A,590.0,29.56,10.08,0.002,199,3
A,594.5,29.56,10.08,0.002,200,3
