label,uptime_s,rss_mb,footprint_mb,cpu_s,wakeups,idle_wakeups
B,-0.0,40.75,11.27,0.001,77,1
B,5.0,34.72,11.03,0.001,79,1
B,10.0,34.08,11.05,0.001,80,1
B,15.0,34.02,11.02,0.001,81,1
B,20.0,33.91,11.02,0.001,82,1
B,25.0,34.00,11.02,0.001,83,1
B,30.0,30.97,11.02,0.001,84,1
B,35.0,31.77,11.02,0.001,85,1
B,40.0,30.86,11.03,0.001,86,1
B,45.0,31.84,11.03,0.001,87,1
B,50.0,31.84,11.03,0.001,88,1
B,55.0,32.19,11.03,0.001,89,1
B,60.0,32.19,11.03,0.001,90,1
B,65.0,32.19,11.03,0.002,91,1
B,70.0,32.16,11.03,0.002,92,1
B,75.0,31.81,11.03,0.002,93,1
B,80.0,31.83,11.03,0.002,94,2
B,85.0,31.88,11.03,0.002,95,2
B,90.0,31.89,11.03,0.002,96,2
B,95.0,31.92,11.03,0.002,97,2
B,100.0,30.89,11.03,0.002,98,2
B,105.0,31.77,11.03,0.002,99,2
B,110.0,31.77,11.03,0.002,100,2
B,115.0,31.77,11.03,0.002,101,2
B,120.0,31.77,11.03,0.002,102,2
B,125.0,31.77,11.03,0.002,103,2
B,130.0,31.77,11.03,0.002,104,2
B,135.0,31.77,11.03,0.002,105,2
B,140.0,30.88,11.03,0.002,106,2
B,145.0,31.83,11.03,0.002,107,2
B,150.0,31.84,11.03,0.002,108,2
B,155.0,31.91,11.03,0.002,109,2
B,160.0,33.69,11.03,0.002,115,2
B,165.0,33.67,11.03,0.002,121,2
B,170.0,33.66,11.03,0.002,124,2
B,175.0,33.66,11.03,0.002,125,2
B,180.0,33.69,11.03,0.002,126,2
B,185.0,33.14,11.03,0.002,130,2
B,190.0,33.41,11.03,0.002,137,2
B,195.0,33.33,11.03,0.002,138,2
B,200.0,33.34,11.03,0.002,139,2
B,205.0,33.38,11.03,0.002,140,2
B,210.0,33.38,11.03,0.002,141,2
B,215.0,33.38,11.03,0.002,142,2
B,220.0,33.38,11.03,0.002,143,2
B,225.0,33.38,11.03,0.002,144,2
B,230.0,33.38,11.03,0.002,145,2
B,235.0,31.97,11.03,0.002,146,2
B,240.0,33.38,11.03,0.002,147,2
B,245.0,33.23,11.03,0.002,148,2
B,250.0,33.42,11.03,0.002,149,2
B,255.0,33.42,11.03,0.002,150,2
B,260.0,33.45,11.03,0.002,151,2
B,265.0,33.47,11.03,0.002,152,2
B,270.0,33.47,11.03,0.002,153,2
B,275.0,32.77,11.03,0.002,154,2
B,280.0,32.77,11.03,0.002,155,3
B,285.0,32.77,11.03,0.002,156,4
B,290.0,32.77,11.03,0.002,157,4
B,294.5,32.95,11.03,0.002,159,4
