label,uptime_s,rss_mb,footprint_mb,cpu_s,wakeups,idle_wakeups
B,0.0,49.95,15.08,0.008,662,10
B,5.0,49.83,14.94,0.014,1266,13
B,10.0,49.88,14.83,0.019,1870,15
B,15.0,49.89,14.84,0.025,2475,20
B,20.0,49.91,14.86,0.031,3080,21
B,25.0,49.91,14.86,0.036,3685,21
B,30.0,49.91,14.86,0.042,4290,22
B,35.0,60.39,19.67,0.049,4918,29
B,39.7,57.03,19.67,0.057,5493,35
B,45.0,56.47,19.95,0.069,6300,48
B,50.0,56.31,19.91,0.075,6906,56
B,55.0,56.31,19.91,0.082,7510,64
B,60.0,56.25,19.91,0.088,8115,106
B,65.0,52.19,19.91,0.094,8721,169
B,69.8,84.64,38.09,0.114,9329,278
B,75.0,85.25,38.39,0.130,9960,293
B,80.0,85.47,38.64,0.146,10566,432
B,85.0,85.34,37.92,0.161,11173,537
B,90.0,83.06,38.06,0.175,11773,537
B,94.7,83.53,38.44,0.189,12520,538
