label,uptime_s,rss_mb,footprint_mb,cpu_s,wakeups,idle_wakeups
B,-0.0,55.28,95.06,0.013,637,13
B,5.0,55.38,94.80,0.025,1252,18
B,10.0,55.36,94.66,0.036,1869,18
B,14.8,55.42,94.72,0.048,2465,24
B,20.0,55.45,94.72,0.059,3091,44
B,25.0,55.50,94.74,0.070,3706,54
B,30.0,55.50,94.70,0.082,4320,101
B,35.0,55.52,94.72,0.093,4931,135
B,40.0,49.80,94.78,0.104,5538,197
B,45.0,49.77,94.78,0.113,6152,328
B,50.0,49.77,94.78,0.121,6763,353
B,55.0,49.77,94.78,0.129,7375,468
B,59.9,49.80,94.78,0.138,7973,690
B,65.0,49.78,94.77,0.147,8591,913
B,70.0,49.80,94.77,0.155,9202,1123
B,75.0,49.84,94.81,0.164,9813,1328
B,80.0,49.86,94.83,0.172,10425,1503
B,85.0,49.88,94.84,0.181,11035,1659
B,90.0,49.88,94.83,0.189,11645,1767
B,95.0,49.89,94.84,0.197,12255,1833
B,100.0,49.89,94.84,0.206,12868,1843
B,105.0,49.89,94.84,0.214,13471,1847
B,110.0,50.20,94.83,0.223,14084,1904
B,114.9,50.53,94.92,0.232,14676,2010
