label,uptime_s,rss_mb,footprint_mb,cpu_s,wakeups,idle_wakeups
B,-0.0,49.55,14.61,0.009,650,18
B,5.0,49.56,14.63,0.017,1255,34
B,10.0,45.00,14.64,0.025,1861,41
B,15.0,45.05,14.66,0.032,2465,73
B,20.0,45.08,14.69,0.041,3070,88
B,25.0,43.30,14.69,0.048,3675,104
B,30.0,43.28,14.70,0.056,4280,107
B,35.0,43.28,14.70,0.064,4884,118
B,40.0,43.34,14.70,0.072,5490,138
B,45.0,43.34,14.70,0.080,6095,156
B,50.0,43.33,14.70,0.088,6700,191
B,55.0,43.34,14.70,0.096,7306,213
B,60.0,43.36,14.70,0.104,7911,220
B,65.0,44.80,15.02,0.113,8518,244
B,70.0,44.59,14.91,0.120,9123,270
B,75.0,44.62,14.86,0.129,9728,323
B,80.0,44.53,14.86,0.136,10334,350
